Source Title (Medline-sourced journals are indicated in Green),Print-ISSN,E-ISSN,Publisher imprints grouped to main Publisher
Colombia Internacional,01215612,,Universidad de los Andes 1
Colombia Medica,01208322,16579534,Corporacion Editora Medica del Valle
Colon and Rectum,19516371 ,1951638X ,Springer
Colonial Latin American Historical Review,10635769 ,,Spanish Colonial Research Center at the University of New Mexico
Colonial Latin American Review,10609164,,"The City College, City University of New York"
Colonial Waterbirds,07386028,,Waterbird Society
Coloproctology,01742442,16156730,Urban und Vogel Medien und Medizin Verlagsgesellschaft mbH
Coloquio-Letras,00101451 ,,Fundacao Calouste Gulbenkian
Color Research and Application,03612317,15206378,Wiley-Blackwell
Colorado Medicine,01997343,,Colorado Medical Society
Colorado nurse,8750846X,,Arthur L. Davis Publishing Agency Inc
"Colorado School of Mines Research Foundation Inc., Mineral Industries Bulletin",00101745 ,,Colorado School of Mines Press
Coloration Technology,14723581,,Society of Dyers and Colourists
Colorectal Disease,14628910,14631318,Wiley-Blackwell
Colourage,00101826,,Colour Publication Pvt. Ltd.
Colposcopy and Gynecologic Laser Surgery,07416113,,Mary Ann Liebert
Columbia human rights law review,00907944,,Columbia University Press
Columbia Journal of Law and Social Problems,00101923,,Darby Publishing
Columbia Journal of Transnational Law,00101931,,Columbia Journal of Transnational Law Association
Columbia Journal of World Business,00225428 ,,Elsevier
Columbia Law Review,00101958,,Columbia Law Review Association
Coluna/ Columna,18081851,,Bevilaqua Publisher
Combinatorial Chemistry and High Throughput Screening,13862073,,Bentham
Combinatorica,02099683,14396912,Springer
Combinatorics Probability and Computing,09635483,14692163,Cambridge University Press
Combustion and Flame,00102180,,Elsevier
Combustion Science and Technology,00102202,1563521X,Taylor & Francis
Combustion Theory and Modelling,13647830,,IoP
"Combustion, Explosion, and Shock Waves (English Translation of Fizika Goreniya i Vzryva)",00105082,15738345,Springer
Comitatus,00696412 ,,Center for Medieval and Renaissance Studies
Commentarii Mathematici Helvetici,00102571,14208946,Springer
Commentary,00102601,,American Jewish Committee
Commentationes Mathematicae Universitatis Carolinae,00102628 ,12137243 ,Mathematical Institute of Charles University
Comments on Inorganic Chemistry,02603594,15489574,Taylor & Francis
Comments on Toxicology,08865140,,Taylor & Francis
Commercial Motor,00103063,,Elsevier
"Common factor (Stoughton, Mass.)",,,Committee of Ten Thousand
Common Knowledge,0961754X ,15384578 ,Duke University Press
Common Market Law Review,01650750,,Springer
"Commonweal (New York, N.Y.)",00103330,,Commonwealth Foundation
Commonwealth and Comparative Politics,14662043,,Frank Cass Publishers
Commonwealth Forestry Review,00103381,,Commonwealth Forestry Association
Commonwealth Law Bulletin,03050718,17505976,Commonwealth Secretariat
Communicable disease and public health / PHLS,14621843,,Health Protection Agency
Communicable disease report. CDR review,13509349,,Health Protection Agency
Communicable disease report. CDR weekly,13509357,,Health Protection Agency
Communicable diseases intelligence,07253141,14454866,Department of Health and Ageing
Communicating nursing research,01601652,,Western Interstate Commission for Higher Education
Communicatio,02500167 ,17535379 ,Taylor & Francis
Communication and Critical/ Cultural Studies,14791420 ,14794233 ,Taylor & Francis
Communication and Medicine,16121783,16133625,Walter de Gruyter
Communication Disorders Quarterly,15257401 ,,Pro-Ed
Communication Education,03634523,,Taylor & Francis
Communication Law and Policy,10811680,,Lawrence Erlbaum Associates Inc.
Communication Methods and Measures,19312458 ,19312466 ,Taylor & Francis
Communication Monographs,03637751,,Taylor & Francis
Communication Quarterly,01463373,,Taylor & Francis
Communication Reports,08934215,,Western Speech Communication Association
Communication Research,00936502,,SAGE
Communication Research Reports,08824096,,Taylor & Francis
Communication Review,10714421,,Taylor & Francis
Communication Studies,00089575,,Central States Communication Association
Communication Teacher,17404622 ,17404630 ,Taylor & Francis
Communication Theory,10503293,14682885,OUP
Communications,03412059 ,16134087 ,P. Lang
Communications - Geological Survey of Namibia,10262954,,"Ministry of Mines and Energy, Geological Survey of Nambia"
Communications in agricultural and applied biological sciences,13791176,,Universiteit Gent
Communications in Algebra,00927872,15324125,Taylor & Francis
Communications in Analysis and Geometry,10198385,,International Press
Communications in Applied Analysis,10832564,,"Dynamic Publishers, Inc."
Communications in Applied Mathematics and Computational Science,15593940 ,21575452 ,Mathematical Sciences Publishers
Communications in Applied Numerical Methods,07488025,,Wiley-Blackwell
Communications in behavioral biology. Part A: [Original articles],00103608,,Elsevier
Communications in Biometry and Crop Science,18960782,,Warsaw Agricultural University
Communications in Computational Physics,18152406,19917120,Global Science Press
Communications in Computer and Information Science,18650929,,Springer
Communications in Contemporary Mathematics,02191997,,World Scientific
Communications in Information Literacy,19335954 ,,Communications in Information Literacy
Communications in Mathematical Analysis,19389787 ,,Mathematical Research Publishers
Communications in Mathematical Physics,00103616,14320916,Springer
Communications in Mathematical Sciences,15396746,,International Press
Communications in Nonlinear Science and Numerical Simulation,10075704,,Elsevier
Communications in Number Theory and Physics,19314523 ,19314531 ,"International Press of Boston, Inc."
Communications in Numerical Methods in Engineering,10698299,10990887,Wiley-Blackwell
Communications in Partial Differential Equations,03605302,15324133,Taylor & Francis
Communications in Soil Sccience and Plant Analysis,00103624,15322416,Taylor & Francis
Communications in Statistics - Theory and Methods,03610926,1532415X,Taylor & Francis
Communications in Statistics Part B: Simulation and Computation,03610918,15324141,Taylor & Francis
Communications in Statistics. Part C: Stochastic Models,08820287,,Taylor & Francis
Communications in Theoretical Physics,02536102,,International Academic Publishers
Communications International (London),03052109,,Emap Media Ltd.
Communications Law,17467616,,Tottel Publishing
Communications News,00103632,,Harcourt Brace Jovanovich
Communications of the ACM,00010782,,"Association for Computing Machinary, Inc."
Communications of the Association for Information Systems,15293181 ,,"Association for Computing Machinary, Inc."
Communications of the Korean Mathematical Society,12251763,,Korean Mathematical Society
Communications on Applied Nonlinear Analysis,1074133X,,International Publications
Communications on Hydraulic & Geotechnical Engineering - Delft University of Technology,,,
Communications on Hydraulics and Geotechnical Engineering - Delft University of Technology,01696548,,Technische Universiteit Delft/Delft University of Technology
Communications on Pure and Applied Analysis,15340392,,American Institute of Mathematical Sciences
Communications on Pure and Applied Mathematics,00103640,10970312,Wiley-Blackwell
Communications Solutions,10938176 ,,Technology Marketing Corporation
Communio Viatorum,00103713 ,,Thomson Reuters
Communist Affairs,05888174 ,,University of Southern California
Communist and Post-Communist Studies,0967067X,,Elsevier
Communist Economies,09540113,,Taylor & Francis
Communist Economies and Economic Transformation,13514393,14653958,Taylor & Francis
Communitative and Integrative Biology,19420889 ,,Landes Bioscience
Community and Junior College Libraries,02763915,15452522,Haworth Press
Community Care,03075508,,Elsevier
Community College Journal of Research and Practice,10668926 ,,Taylor & Francis
Community College Review,00915521,,SAGE
Community Dental Health,0265539X,,FDI World Dental Press Ltd.
Community Dentistry and Oral Epidemiology,03015661,,Wiley-Blackwell
Community Development Journal,00103802,14682656,OUP
Community Development: Journal of the Community Development Society,15575330,,Taylor & Francis
Community Ecology,15858553,,Akademiai Kiado
Community Genetics,14222795,14222833,Karger
Community Health,00103837,,Bristol John Wright And Sons
Community Health Studies,03149021,,University of Adelaide
Community Medicine,01422456,,OUP
Community Mental Health Journal,00103853,15732789,Human Sciences Press
Community mental health review,03631605,,Haworth Press
Community nurse,13511416,,Emap Healthcare Ltd.
Community Oncology,15485315,,BioLink Communications
Community outlook,02628759,,Macmillan
Community Pract,14622815,,Community Practitioners And Health Visitors Association
"Community, Environment and Disaster Risk Management",20407262 ,,Emarald
"Community, Work and Family",13668803,14693615,Taylor & Francis
Commutation and Transmission,02421283,,Societe pour le developpement de la technique des telecommunications sur cables
Comparative American Studies,14775700,17412676,Maney Publishing
Comparative and Continental Philosophy,17570638 ,17570646 ,Maney Publishing
Comparative and Functional Genomics,15316912,15326268,Hindawi
Comparative and general pharmacology,00104035,,Scientechnica Publishers
Comparative Biochemistry and Physiology,0010406X,,Elsevier
Comparative Biochemistry and Physiology - A Physiology,03009629,,Elsevier
Comparative Biochemistry and Physiology - B Biochemistry and Molecular Biology,10964959,,Elsevier
Comparative Biochemistry and Physiology - C Pharmacology Toxicology and Endocrinology,07428413 ,,Elsevier
Comparative Biochemistry and Physiology -- Part B: Biochemistry and,03050491 ,,Elsevier
Comparative Biochemistry and Physiology - Part D: Genomics and Proteomics,1744117X,,Elsevier
"Comparative Biochemistry and Physiology, A: Comparative Physiology",03009629,,Elsevier
"Comparative Biochemistry and Physiology, Part C",15320456,,Elsevier
"Comparative biochemistry and physiology. Part A, Molecular & integrative physiology",10956433,15314332,Elsevier
"Comparative Biochemistry and Physiology. Part C, Pharmacology, Toxicology & Endocrinology",13678280,,Elsevier
Comparative Biochemistry and Physiology. Part C: Comparative,03064492 ,,Elsevier
Comparative Clinical Pathology,16185641,1618565X,Springer
Comparative Critical Studies,17441854 ,17500109 ,Edinburgh University Press Ltd.
Comparative Cytogenetics,19930771 ,1993078X ,Pensoft Publishers
Comparative Drama,00104078 ,,Western Michigan University
Comparative economic studies,08887233 ,,Association for Comparative Economic Studies
Comparative Education,03050068,13600486,Taylor & Francis
Comparative Education Review,00104086,1545701X,Comparative and International Education Society
Comparative European Politics,14724790 ,1740388X ,Macmillan
Comparative Haematology International,09387714,14332981,Springer
Comparative Hepatology,14765926,,Springer
"Comparative Immunology, Microbiology and Infectious Diseases",01479571,,Elsevier
Comparative Literature,00104124 ,,University of Oregon
Comparative Literature Studies,00104132 ,15284212 ,Pennsylvania State University Press
Comparative Medicine,15320820,,American Association for Laboratory Animal Science
Comparative Medicine East and West,01472917,,Neale Watson Academic Publications
Comparative Parasitology,15252647,,Helminthological Society of Washington
Comparative Political Studies,00104140,,SAGE
Comparative Politics,00104159,,City University of New York
Comparative Population Studies,18698980 ,18698999 ,"Federal Institute for Population Research (Bundesinstitut fur Bevolkerungsforschung, BiB)"
Comparative Social Research,01956310,,Elsevier
Comparative Sociology,15691322,15691330,Brill
Comparative Strategy,01495933,15210448,Taylor & Francis
Comparative Studies in Society and History,00104175,14752999,Cambridge University Press
"Comparative Studies of South Asia, Africa and the Middle East",1089201X,1548226X,Duke University Press
Compare,03057925,,Taylor & Francis
Compass,0894802X,,Society of Sigma Gamma Epsilon
"Compass of Sigma, Gamma, Epsilon",00104213,,Kansas Sigma Gamma Epsilon
COMPEL - The International Journal for Computation and Mathematics in Electrical and Electronic Engineering,03321649,,Emerald
"Compendium (Newtown, Pa.)",08941009,,"Dental Learning Systems Co., Inc."
"Compendium (Newtown, Pa.). Supplement",,,"Dental Learning Systems Co., Inc."
"Compendium (Yardley, PA)",01931903,,Veterinary Learning Systems
"Compendium of continuing education in dentistry (Jamesburg, N.J. : 1995)",15488578,,"Dental Learning Systems Co., Inc."
"Compendium of continuing education in dentistry. (Jamesburg, N.J. : 1995). Supplement",,,"Dental Learning Systems Co., Inc."
Compendium on Continuing Education for the Practicing Veterinarian,01931903,,Veterinary Learning Systems
Compensation and Benefits Review,08863687,,SAGE
Compensation review,00104248,,American Management Association
Competition and Change,10245294 ,14772221 ,Maney Publishing
Competition and Regulation in Network Industries,17835917 ,,Intersentia
Competition Policy International,15540189 ,15546853 ,Competition Policy International (CPI)
Complement,02535076,,Karger
Complement and Inflammation,10128204,,Karger
Complementary Health Practice Review,15332101 ,,SAGE
Complementary Medical Research,02684055,,Taylor & Francis
Complementary Therapies in Clinical Practice,17443881,,Elsevier
Complementary Therapies in Medicine,09652299,,Elsevier
Complementary Therapies in Nursing and Midwifery,13536117,,Elsevier
Complex Analysis and Operator Theory,16618254,16618262,Springer
Complex Systems,08912513 ,,"Complex Systems Publications, inc."
Complex Systems and Complexity Science,16723813 ,,fu za xi tong yu fu za xing ke xue bian ji bu
Complex Variables and Elliptic Equations,17476933 ,17476941 ,Taylor & Francis
Complexity,10762787,10990526,Wiley-Blackwell
Complexity International,13200682,,Charles Sturt University
Complexus,14248492,14248506,Karger
Compliance Engineering,08983577,,Canon Communications LLC
Compliance Magazine,10775889,,"Douglas Publications, Inc."
Complications in Surgery,1053749X,,"Surgical Care Publications, Inc."
Complutum,11316993 ,19882327,Universidad Complutense de Madrid
Components,09451145,,Siemens Aktiengesellschaft
Composite Interfaces,09276440,15685543,Taylor & Francis
Composite Materials Series,09270108,,Elsevier
Composite Polymers,09526919,,RAPRA Technology Ltd.
Composite Structures,02638223,,Elsevier
Composites,00104361,,Elsevier
Composites Engineering,09619526,,Elsevier
Composites International,16273486,,Journal and Exhibition Composites
Composites Manufacturing,09567143,,C R C Press
Composites Part A: Applied Science and Manufacturing,1359835X,,Elsevier
Composites Part B: Engineering,13598368,,Elsevier
Composites Science and Technology,02663538,,Elsevier
Composites Technology,10834117,,Ray Publishing
Composites Technology Review,07339011,,American Society for Testing and Materials
"Composites: Mechanics, Computations, Applications",21522057 ,21522073 ,Begell House
Compositio Mathematica,0010437X,15705846,London Mathematical Society
Compost Sci,00104388,,Rodale Press
Compost Science and Utilization,1065657X,,"J G Press, Inc."
Compost science-land utilization,01607413,,JG Press
Compound Semiconductor,1096598X,,IoP
Comprehensive Analytical Chemistry,0166526X,,Elsevier
Comprehensive Biochemistry,00698032 ,,Elsevier
Comprehensive Chemical Kinetics,00698040 ,,Elsevier
Comprehensive Ophthalmology Update,15277313,,Comprehensive Optamology Update LLC.
Comprehensive Physiology,20404603 ,,Wiley-Blackwell
Comprehensive Psychiatry,0010440X,15328384,Elsevier
Comprehensive Reviews in Food Science and Food Safety,15414337,,International Life Sciences Institute
Comprehensive Series in Photosciences,1568461X,,Elsevier
Comprehensive Therapy,00988243,,"American Society of Contemporary Medicine, Surgery and Opthalmology"
Comptes Rendus - Academie Bulgarie des Sciences,,,
"Comptes Rendus - Academie des Sciences, Serie II: Sciences de la Terre, et des Planetes",12518050,,Gauthier-Villars
"Comptes Rendus - Academie des Sciences, Serie III: Sciences de la Vie",07644469,,Gauthier-Villars
Comptes Rendus - Biologies,16310691,,Elsevier
Comptes Rendus - Geoscience,16310713,,Elsevier
Comptes Rendus - Mecanique,16310721,,Elsevier
Comptes Rendus - Palevol,16310683,,Elsevier
Comptes Rendus Chimie,16310748,,Elsevier
"Comptes Rendus de Academie des Sciences, Paris, Serie II",07644450,,Elsevier
Comptes Rendus de l'Academie de Sciences - Serie IIb: Mecanique,16207742,,Elsevier
"Comptes Rendus de l'Academie de Sciences - Serie IIb: Mecanique, Physique, Chimie, Astronomie",12874620,,Elsevier
Comptes Rendus de l'Academie des Sciences - Series I: Mathematics,02496291,,Elsevier
Comptes Rendus de l'Academie des Sciences - Series IIc: Chemistry,13871609,,Elsevier
"Comptes Rendus de l'Academie des Sciences - Series IV: Physics, Astrophysics",12962147,,Elsevier
"Comptes Rendus de l'Academie des Sciences, Paris, Serie D",0567655X,,Gauthier-Villars
Comptes rendus de l'Association des anatomistes,00668915,,Association des anatomistes
Comptes Rendus de Therapeutique et de Pharmacologie Clinique,02939908,,Editions Marc Bancquart
Comptes Rendus des Seances de la Academie des Inscriptions et Belles Lettres,00650536 ,,Diffusion de Boccard
Comptes Rendus des Seances de la Societe de Biologie et de Ses Filiales,00379026,,Elsevier
Comptes rendus des travaux du Laboratoire Carlsberg. Série,,,En Commission chez H. Hagerup
Comptes rendus des travaux du Laboratoire Carlsberg. Série chimique,,,En Commission chez H. Hagerup
Comptes rendus des travaux du Laboratoire Carlsberg. Série physiologique,,,En Commission chez H. Hagerup
Comptes rendus hebdomadaires des séances de l'Académie des sciences,00014036 ,,Gauthier-Villars
Comptes Rendus Mathematique,1631073X,,Elsevier
Comptes Rendus Physique,16310705,,Elsevier
"Comptes Rendus, Hebdomadaires des Seances de l'Academie des Sciences, Serie B",03355993,,Gauthier-Villars
Comptes-rendus des travaux du Laboratoire Carlsberg,00757497 ,,En Commission chez H. Hagerup
Comput Des,00104566,,Computer Design Pub. Corp.
Computacion y Sistemas,14055546 ,,Centro de Investigacion en Computacion (CIC) del Instituto Politecnico Nacional (IPN)
Computational and Applied Mathematics,01018205,,Springer
Computational and Experimental Methods,14667266,,WIT Press
Computational and Mathematical Methods in Medicine,1748670X,17486718,Taylor & Francis
Computational and Mathematical Organization Theory,1381298X,,Springer
Computational and Theoretical Chemistry,2210271X ,,Elsevier
Computational and Theoretical Polymer Science,10893156,,Elsevier
Computational Biology and Chemistry,14769271,,Elsevier
Computational Complexity,10163328,14208954,Springer
Computational Economics,09277099,15729974,Springer
Computational Engineering,,,
Computational Geometry: Theory and Applications,09257721,,Elsevier
Computational Geosciences,14200597,,Springer
Computational Intelligence,08247935,14678640,Wiley-Blackwell
Computational Intelligence and Neuroscience,16875265,16875273,Hindawi
Computational Linguistics,08912017,15309312,MIT Press
Computational Management Science,1619697X,16196988,Springer
Computational Materials Science,09270256,,Elsevier
Computational Mathematics and Mathematical Physics,09655425,,Elsevier
Computational Mathematics and Modeling,1046283X,,Consultants Bureau
Computational Mechanics,01787675,14320924,Springer
Computational Methods and Function Theory,16179447 ,,Springer
Computational Methods in Applied Mathematics,16094840 ,16099389 ,Walter de Gruyter
Computational Optimization and Applications,09266003,15732894,Springer
Computational Science and Discovery,17494680,,IoP
Computational Statistics,09434062,,Physica-Verlag Gmbh und Co.
Computational Statistics and Data Analysis,01679473,,Elsevier
Computational systems bioinformatics / Life Sciences Society. Computational Systems Bioinformatics Conference,17527791 ,,Imperial College Press
Computational Thermal Sciences,19402503 ,19402554 ,Begell House
Computer,00189162,,IEEE
Computer Aided Chemical Engineering,15707946,,Elsevier
Computer Aided Geometric Design,01678396,,Elsevier
Computer Aided Surgery,10929088,,Taylor & Francis
Computer Animation and Virtual Worlds,15464261,,Wiley-Blackwell
Computer Applications in Engineering Education,10613773,10990542,Wiley-Blackwell
Computer Applications in the Biosciences,02667061,,OUP
Computer Applications in the Laboratory,07240031,,Alfred Huethig Verlag
Computer Assisted Language Learning,09588221,,Intellect Ltd.
Computer Assisted Mechanics and Engineering Sciences,1232308X,,Agencja Reklamowo-Wydawnicza Foto Kurier
Computer Bulletin (London),00104531,1464357X,OUP
Computer Communications,01403664,,Elsevier
Computer Fraud and Security,13613723,,Elsevier
Computer Fraud and Security Bulletin,01420496 ,,Elsevier
Computer Graphics (ACM),00978930,,"Special Interest Group on Computer Graphics, Association for Computing Machinery"
Computer Graphics and Image Processing,0146664X,,Elsevier
Computer Graphics Forum,01677055,14678659,Wiley-Blackwell
Computer Graphics World,02714159,,PennWell Corp.
Computer Integrated Manufacturing Systems,09515240,,Elsevier
Computer Journal,00104620,14602067,OUP
Computer Languages,00960551,,Elsevier
"Computer Languages, Systems and Structures",14778424,,Elsevier
Computer Law and Security Review,02673649,,Elsevier
Computer Methods and Programs in Biomedicine,01692607,,Elsevier
Computer Methods in Applied Mechanics and Engineering,00457825,,Elsevier
Computer Methods in Biomechanics and Biomedical Engineering,10255842,,Taylor & Francis
Computer Methods in the Geosciences,1874561X,,Elsevier
Computer Modeling and Simulation in Engineering,10833455,,SAGE
Computer Music Journal,01489267,15315169,MIT Press
Computer Networks,13891286,,Elsevier
Computer Networks (1976),03765075 ,,Elsevier
Computer Networks and ISDN Systems,01697552,,Elsevier
Computer Optics,01342452 ,,"Institution of Russian Academy of Sciences, Image Processing Systems Institute of RAS"
Computer Physics Communications,00104655,,Elsevier
Computer Physics Reports,01677977,,Elsevier
Computer Programs in Biomedicine,0010468X,,Elsevier
Computer Science - Research and Development,18652034 ,,Springer
Computer Science and Information Systems,18200214 ,,ComSIS Consortium
Computer Science Education,08993408 ,17445175 ,Taylor & Francis
Computer Science Review,15740137,,Elsevier
Computer Security Journal,02770865,,Computer Security Institute
Computer Software,02896540,,Japan Society for Software Science and Technology
Computer Speech and Language,08852308,10958363,Elsevier
Computer Standards and Interfaces,09205489,,Elsevier
Computer Supported Cooperative Work,09259724,15737551,Springer
Computer Systems Science and Engineering,02676192,,C R L Publishing Ltd.
Computer Technology Review,02789647,,"West World Productions, Inc."
Computer Vision and Image Understanding,10773142,1090235X,Elsevier
"Computer Vision, Graphics, and Image Processing",0734189X,,Elsevier
Computer-Aided Civil and Infrastructure Engineering,10939687,14678667,Wiley-Blackwell
Computer-Aided Design and Applications,16864360,,Computer Aided Design Solutions
Computer-Aided Engineering,07333536,,"Penton Media, Inc."
Computer-Aided Engineering Journal,02639327,,IEE
Computer-Assisted Radiology and Surgery,18616410,18616429,Springer
Computerized Medical Imaging and Graphics,08956111,,Elsevier
Computerized Radiology,07304862,,Elsevier
Computerized Tomography,03638235,,Elsevier
Computers & Standards,01678051,,Elsevier
Computers and Artificial Intelligence,02320274,,Slovak Academic Press Ltd.
Computers and Biomedical Research,00104809,,Elsevier
Computers and Chemical Engineering,00981354,,Elsevier
Computers and Chemistry,00978485,,Elsevier
Computers and Composition,87554615,,Elsevier
Computers and Concrete,15988198,1598818X,Techno Press
Computers and Education,03601315,,Elsevier
Computers and Electrical Engineering,00457906,,Elsevier
Computers and Electronics in Agriculture,01681699,,Elsevier
Computers and Fluids,00457930,,Elsevier
Computers and Geosciences,00983004,,Elsevier
Computers and Geotechnics,0266352X,,Elsevier
Computers and Graphics,00978493,,Elsevier
Computers and Industrial Engineering,03608352,,Elsevier
Computers and Mathematics with Applications,08981221,,Elsevier
Computers and Mathematics with Applications,00974943,,
Computers and Mathematics with Applications. Part B,08869561 ,,Elsevier
Computers and Operations Research,03050548,,Elsevier
Computers and Security,01674048,,Elsevier
Computers and Structures,00457949,,Elsevier
Computers and the Humanities,00104817,,Paradigm Press
Computers and translation,08840709,,Paradigm Press
Computers and Urban Society,03057097 ,,Elsevier
Computers in Biology and Medicine,00104825,,Elsevier
Computers in Education Journal,10693769,,American Society for Engineering Education
Computers in Entertainment,15443574,,"Special Interest Group on Computer Graphics, Association for Computing Machinery"
Computers in healthcare,07451075,,"Nelson Publishing, Inc."
Computers in hospitals,0274631X,,Cardiff Publishing Co.
Computers in Human Behavior,07475632,,Elsevier
Computers in Human Services,0740445X,,Haworth Press
Computers in Industry,01663615,,Elsevier
Computers in Libraries,10417915,,"Information Today, Inc."
Computers in Nursing,07368593,,Wolters Kluwer Health
Computers in Physics,08941866,,AIP
Computers in the Schools,07380569,15287033,Haworth Press
"Computers, Environment and Urban Systems",01989715,,Elsevier
"Computers, Materials and Continua",15462218,15462226,Tech Science Press
Computertomographie Sonographie,07200501,,Thieme
"Computes Rendus - Academie des Sciences, Serie II: Mecanique, Physique, Chimie, Astronomie",12518069,,Gauthier-Villars
Computing (Vienna/New York),0010485X,14365057,Springer
Computing and Control Engineering Journal,09563385,17410460,IEE
Computing and Informatics,13359150,,Slovak Academic Press Ltd.
Computing and Visualization in Science,14329360,,Springer
Computing in Science and Engineering,15219615,,AIP
Computing Surveys,00104892,,"Association for Computing Machinary, Inc."
Computing systems,08956340,,University of California Press
Computing systems in engineering,09560521,,Elsevier
ComTec,14203715,,Telecom PTT
Comunicacion y Sociedad,02140039,,Universidad de Navarra
Comunicacoes Geologicas,16472462 ,,Instituto Nacional de Engenharia e Tecnologia Industrial
Comunicar,11343478 ,,"Grupo Comunicar, Colectivo Andaluz de Educacion en Medios de Comunicacion"
Comunicata Scientiae,21769079 ,21775133 ,Federal University of Piaui
CONCAWE Reports,01660810,,Oil Companies European Organisation for Environmental and Health Protection
CONCAWE Review,10277358,,CONCAWE
Concentric,17296897 ,17298792 ,National Taiwan Normal University
Concepts in immunopathology,02557983,,Karger
Concepts in Magnetic Resonance,10437347,10990534,Wiley-Blackwell
Concepts in Magnetic Resonance Part A: Bridging Education and Research,15466086,15525023,Wiley-Blackwell
Concepts in Magnetic Resonance Part B: Magnetic Resonance Engineering,15525031,,Wiley-Blackwell
"Concern (Regina, Sask.)",08367310,,Saskatchewan Registered Nurses'Association
Concrete (London),00105317,,The Concrete Society
Concrete Construction - World of Concrete,00105333,,Hanley-Wood
Concrete Engineering International,14605856,1742352X,Concrete Society
Concrete International,01624075,,American Concrete Institute
Concrete Plant and Production,02640236,,Hayden Jeffery Ed. & Pub.
Concrete Producer,15280187,,Aberdeen Group
Concrete Works International,02624761,,The Concrete Society
Concurrency Computation Practice and Experience,15320626,15320634,Wiley-Blackwell
Concurrency Practice and Experience,10403108,,Wiley-Blackwell
Concurrent Engineering Research and Applications,1063293X,,SAGE
Concurrent Systems Engineering Series,13837575,,IOS Press
Condensed Matter Physics,1607324X,,Institute for Condensed Matter Physics of the National Academy of Sciences of Ukraine
Conditional reflex,00105392,,Springer
Condor,00105422,,"Cooper Ornithological Society, Inc."
"Conference on carpet yarn heat and twistsetting' Dalton, GA, USA January 1996",,,Clemson University
"Conferences d'histoire de la medecine : [fascicule] / Institut d'histoire de la medecine, Musee d'histoire de la medecine. Conferences d'histoire de la medecine",,,Fondation Marcel Merieux
Configurations,10631801,10806520,Johns Hopkins University Press
Confinia Cephalalgica,11220279,,Elsevier
Confinia neurologica,00105678,,Karger
Conflict and Health,17521505 ,,Springer
Conflict Management and Peace Science,07388942,,SAGE
Conflict Resolution Quarterly,15365581,,Wiley-Blackwell
"Conflict, Security and Development",14678802,,Taylor & Francis
Confluencia,08886091 ,,University of Northern Colorado
Confluenze,20360967 ,,"Dipartimento di Lingue, Letterature e Culture moderne - Universita di Bologna"
Conformal Geometry and Dynamics,10884173 ,,American Mathematical Society
Confrontation,00105716,,Long Island University
Confrontations Psychiatriques,01539329,,Societe Parisienne d Expansion Chimique
Congenital Anomalies,09143505,,Wiley-Blackwell
Congenital Heart Disease,1747079X,17470803,Wiley-Blackwell
Congestive Heart Failure,15275299,,"Le Jacq Communications, Inc."
Congress and the Presidency,07343469,,Taylor & Francis
Connaissance des Arts,00105988,,Societe FranCaise de Promotion
Connecticut Law Review,00106151,,Connecticut Law Review Association
Connecticut Medicine,00106178,,Connecticut State Medical Society
"Connecticut nursing news (Meriden, Conn. : 1980)",02784092,,Arthur L. Davis Publishing Agency Inc
Connecticut state medical journal,00960179 ,,Connecticut State Medical Society
Connection Science,09540091,13600494,Taylor & Francis
Connective Tissue,0916572X,,Japanese Society For Connective Tissue Research
Connective Tissue Research,03008207,16078438,Taylor & Francis
Connector Specifier,10781528,,PennWell Corp.
Connexions,03373126,17762804,Editions Eres
Conradiana,00106356 ,19350252 ,Texas Tech University
"Conscience (Washington, D.C.)",07406835,,Catholics for a Free Choice
Consciousness and Cognition,10538100,10902376,Elsevier
Conservation and Management of Archaeological Sites,13505033 ,17535522 ,Maney Publishing
Conservation and Recycling,03613658,,Elsevier
Conservation and Society,09724923 ,,SAGE
Conservation Biology,08888892,15231739,Wiley-Blackwell
Conservation Ecology,11955449,,The Resilience Alliance
Conservation Evidence,17582067 ,,University of Cambridge
Conservation Genetics,15660621,,Springer
Conservation Genetics Resources,18777252 ,18777260 ,Springer
Conservation Letters,1755263X ,,Wiley-Blackwell
Conservation Science Western Australia,14473682,,Department of Conservation and Land Management
Conservative Judaism,00106542,,Rabbinical Assembly
"Constellations (Oxford, England)",13510487,,Wiley-Blackwell
Constitutional Political Economy,10434062,15729966,Springer
Constraints,13837133,15729354,Springer
Construction and Building Materials,09500618,,Elsevier
Construction History,02677768 ,,Chartered Institute of Building
Construction Innovation,14714175 ,14770857 ,Arnold
Construction Management and Economics,01446193,1466433X,E. & F.N. Spon
Construction Repair,09670726,,The Concrete Society
Construction Specifier,00106925,,Construction Specifications Institute
Constructions and Frames,18761933,,John Benjamins Publishing Company
Constructive Approximation,01764276,14320940,Springer
Constructivist Foundations,1782348X,,
Consultant,00107069,,Cliggott Publishing Co.
Consultant Pharmacist,08885109,,American Society of Consultant Pharmacists
Consulting engineer Barrington,00107107,,Cahners Pub. Co.
Consulting Psychology Journal,10659293,,Educational Publishing Foundation
Consulting-Specifying Engineer,08925046,,Elsevier
Consumer markets abroad,08933561,,American Demographics
Consumer reports,00107174,,Consumers Union of the United States
Consumption Markets and Culture,10253866 ,1477223X ,Taylor & Francis
Contact and Intraocular Lens Medical Journal,03601358,,Contact Lens Association Of Ophthalmologists
